Trial_ID,Participant_ID,Edge_type,Pointing_Sequence
1,1,Virtual Edge,7
2,1,Virtual Edge,9
3,1,Virtual Edge,10
4,1,Virtual Edge,2
5,1,Virtual Edge,4
6,1,Virtual Edge,5
7,1,Virtual Edge,6
8,1,Virtual Edge,1
9,1,Virtual Edge,8
10,1,Virtual Edge,3
11,1,Regular Edge,7
12,1,Regular Edge,9
13,1,Regular Edge,10
14,1,Regular Edge,2
15,1,Regular Edge,4
16,1,Regular Edge,5
17,1,Regular Edge,6
18,1,Regular Edge,1
19,1,Regular Edge,8
20,1,Regular Edge,3
21,2,Regular Edge,8
22,2,Regular Edge,10
23,2,Regular Edge,1
24,2,Regular Edge,3
25,2,Regular Edge,5
26,2,Regular Edge,6
27,2,Regular Edge,7
28,2,Regular Edge,2
29,2,Regular Edge,9
30,2,Regular Edge,4
31,2,Virtual Edge,8
32,2,Virtual Edge,10
33,2,Virtual Edge,1
34,2,Virtual Edge,3
35,2,Virtual Edge,5
36,2,Virtual Edge,6
37,2,Virtual Edge,7
38,2,Virtual Edge,2
39,2,Virtual Edge,9
40,2,Virtual Edge,4
41,3,Virtual Edge,9
42,3,Virtual Edge,1
43,3,Virtual Edge,2
44,3,Virtual Edge,4
45,3,Virtual Edge,6
46,3,Virtual Edge,7
47,3,Virtual Edge,8
48,3,Virtual Edge,3
49,3,Virtual Edge,10
50,3,Virtual Edge,5
51,3,Regular Edge,9
52,3,Regular Edge,1
53,3,Regular Edge,2
54,3,Regular Edge,4
55,3,Regular Edge,6
56,3,Regular Edge,7
57,3,Regular Edge,8
58,3,Regular Edge,3
59,3,Regular Edge,10
60,3,Regular Edge,5
61,4,Regular Edge,10
62,4,Regular Edge,2
63,4,Regular Edge,3
64,4,Regular Edge,5
65,4,Regular Edge,7
66,4,Regular Edge,8
67,4,Regular Edge,9
68,4,Regular Edge,4
69,4,Regular Edge,1
70,4,Regular Edge,6
71,4,Virtual Edge,10
72,4,Virtual Edge,2
73,4,Virtual Edge,3
74,4,Virtual Edge,5
75,4,Virtual Edge,7
76,4,Virtual Edge,8
77,4,Virtual Edge,9
78,4,Virtual Edge,4
79,4,Virtual Edge,1
80,4,Virtual Edge,6
81,5,Virtual Edge,1
82,5,Virtual Edge,3
83,5,Virtual Edge,4
84,5,Virtual Edge,6
85,5,Virtual Edge,8
86,5,Virtual Edge,9
87,5,Virtual Edge,10
88,5,Virtual Edge,5
89,5,Virtual Edge,2
90,5,Virtual Edge,7
91,5,Regular Edge,1
92,5,Regular Edge,3
93,5,Regular Edge,4
94,5,Regular Edge,6
95,5,Regular Edge,8
96,5,Regular Edge,9
97,5,Regular Edge,10
98,5,Regular Edge,5
99,5,Regular Edge,2
100,5,Regular Edge,7
101,6,Regular Edge,2
102,6,Regular Edge,4
103,6,Regular Edge,5
104,6,Regular Edge,7
105,6,Regular Edge,9
106,6,Regular Edge,10
107,6,Regular Edge,1
108,6,Regular Edge,6
109,6,Regular Edge,3
110,6,Regular Edge,8
111,6,Virtual Edge,2
112,6,Virtual Edge,4
113,6,Virtual Edge,5
114,6,Virtual Edge,7
115,6,Virtual Edge,9
116,6,Virtual Edge,10
117,6,Virtual Edge,1
118,6,Virtual Edge,6
119,6,Virtual Edge,3
120,6,Virtual Edge,8
121,7,Virtual Edge,3
122,7,Virtual Edge,5
123,7,Virtual Edge,6
124,7,Virtual Edge,8
125,7,Virtual Edge,10
126,7,Virtual Edge,1
127,7,Virtual Edge,2
128,7,Virtual Edge,7
129,7,Virtual Edge,4
130,7,Virtual Edge,9
131,7,Regular Edge,3
132,7,Regular Edge,5
133,7,Regular Edge,6
134,7,Regular Edge,8
135,7,Regular Edge,10
136,7,Regular Edge,1
137,7,Regular Edge,2
138,7,Regular Edge,7
139,7,Regular Edge,4
140,7,Regular Edge,9
141,8,Regular Edge,4
142,8,Regular Edge,6
143,8,Regular Edge,7
144,8,Regular Edge,9
145,8,Regular Edge,1
146,8,Regular Edge,2
147,8,Regular Edge,3
148,8,Regular Edge,8
149,8,Regular Edge,5
150,8,Regular Edge,10
151,8,Virtual Edge,4
152,8,Virtual Edge,6
153,8,Virtual Edge,7
154,8,Virtual Edge,9
155,8,Virtual Edge,1
156,8,Virtual Edge,2
157,8,Virtual Edge,3
158,8,Virtual Edge,8
159,8,Virtual Edge,5
160,8,Virtual Edge,10
161,9,Virtual Edge,5
162,9,Virtual Edge,7
163,9,Virtual Edge,8
164,9,Virtual Edge,10
165,9,Virtual Edge,2
166,9,Virtual Edge,3
167,9,Virtual Edge,4
168,9,Virtual Edge,9
169,9,Virtual Edge,6
170,9,Virtual Edge,1
171,9,Regular Edge,5
172,9,Regular Edge,7
173,9,Regular Edge,8
174,9,Regular Edge,10
175,9,Regular Edge,2
176,9,Regular Edge,3
177,9,Regular Edge,4
178,9,Regular Edge,9
179,9,Regular Edge,6
180,9,Regular Edge,1
181,10,Regular Edge,6
182,10,Regular Edge,8
183,10,Regular Edge,9
184,10,Regular Edge,1
185,10,Regular Edge,3
186,10,Regular Edge,4
187,10,Regular Edge,5
188,10,Regular Edge,10
189,10,Regular Edge,7
190,10,Regular Edge,2
191,10,Virtual Edge,6
192,10,Virtual Edge,8
193,10,Virtual Edge,9
194,10,Virtual Edge,1
195,10,Virtual Edge,3
196,10,Virtual Edge,4
197,10,Virtual Edge,5
198,10,Virtual Edge,10
199,10,Virtual Edge,7
200,10,Virtual Edge,2
